Year Month,Postal Code,Customer Class,Total Gallons
201311,78749,Irrigation - Multi-Family,"4,349,900"
201402,78728,Irrigation - Multi-Family,"178,100"
201711,78653,Residential,"1,958,000"
201202,78738,Residential,"6,300"
201803,78717,Irrigation - Residential,"8,800"
201412,78736,Irrigation - Multi-Family,"132,500"
201603,78703,Residential,"45,166,100"
201210,78729,Residential,"27,301,100"
201409,78613,Irrigation - Multi-Family,"1,294,100"
201509,78738,Residential,700
201612,78613,Irrigation - Multi-Family,"610,800"
201210,78726,Multi-Family,"12,496,600"
201602,78725,Multi-Family,"190,800"
201604,78730,Irrigation - Residential,"66,300"
201408,78746,Multi-Family,"14,057,600"
201309,78719,Residential,"2,185,700"
201602,78728,Irrigation - Residential,"3,000"
201512,78736,Multi-Family,"2,234,800"
201605,78746,Irrigation - Multi-Family,"640,000"
201501,78722,Multi-Family,"2,936,600"
201408,78738,Residential,"6,500"
201307,78717,Multi-Family,"7,410,300"
201401,78730,Residential,"9,334,700"
201406,78758,Irrigation - Residential,"29,200"
201304,78613,Multi-Family,"23,000"
201806,78724,Irrigation - Residential,"29,600"
201409,78725,Multi-Family,"241,600"
201201,78745,Irrigation - Multi-Family,"848,100"
201708,78660,Irrigation - Multi-Family,"3,071,600"
201503,78717,Irrigation - Multi-Family,"2,210,000"
201807,78753,Residential,"44,934,200"
201607,78727,Residential,"53,351,300"
201710,78724,Irrigation - Multi-Family,"1,214,500"
201307,78735,Multi-Family,"11,265,600"
201211,78705,Irrigation - Residential,"105,600"
201305,78702,Irrigation - Residential,"27,800"
201301,78727,Residential,"39,205,700"
201605,78727,Irrigation - Multi-Family,"3,576,500"
201508,78729,Irrigation - Multi-Family,"4,077,700"
201408,78759,Irrigation - Multi-Family,"1,641,300"
201404,78617,Multi-Family,"3,785,200"
201401,78660,Irrigation - Multi-Family,"6,000"
201211,78741,Irrigation - Residential,"23,500"
201512,78758,Irrigation - Residential,"9,100"
201608,78730,Irrigation - Multi-Family,"1,876,100"
201207,78745,Residential,"108,362,000"
201306,78729,Residential,"26,656,800"
201302,78719,Multi-Family,"463,900"
201206,78724,Multi-Family,"14,868,200"
201306,78722,Multi-Family,"2,894,000"
201412,78705,Irrigation - Residential,"32,900"
201609,78744,Irrigation - Multi-Family,"3,735,200"
201304,78723,Irrigation - Multi-Family,"330,400"
201606,78738,Residential,"1,900"
201703,78652,Multi-Family,"59,700"
201405,78747,Irrigation - Residential,0
201510,78721,Residential,"14,735,100"
201211,78726,Irrigation - Multi-Family,"4,194,000"
201511,78728,Multi-Family,"7,000,700"
201601,78758,Irrigation - Residential,"10,500"
201203,78731,Irrigation - Multi-Family,"447,700"
201206,78737,Residential,"13,453,500"
201403,78722,Multi-Family,"2,366,100"
201307,78613,Multi-Family,"433,000"
201508,78652,Residential,"2,416,800"
201505,78735,Multi-Family,"8,212,000"
201208,78717,Irrigation - Multi-Family,"8,200,300"
201607,78746,Residential,"70,028,000"
201307,78704,Irrigation - Multi-Family,"2,407,500"
201303,78753,Irrigation - Residential,"2,400"
201505,78729,Irrigation - Residential,"5,100"
201508,78660,Multi-Family,"4,771,500"
201312,78653,Residential,"935,200"
201412,78703,Irrigation - Residential,"552,600"
201809,78704,Residential,"56,312,600"
201604,78727,Irrigation - Multi-Family,"2,804,100"
201408,78752,Residential,"13,912,700"
201510,78729,Irrigation - Residential,"6,300"
201701,78719,Residential,"1,493,700"
201602,78724,Irrigation - Multi-Family,"102,500"
